date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:34	741059/741059	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:16:02%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/slider/08.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/slider/08.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:34	1315/1315	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:07%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/python.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/python.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:34	932/932	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:07%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/php.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/php.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:34	6942/6942	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:07%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/ruby.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/ruby.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:34	1640/1640	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:03%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/android.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/android.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:35	3084/3084	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:05%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/java.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/java.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:35	256412/256412	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2010:15:06%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/about/11.jpg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/about/11.jpg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-04.html)
11:24:35	5926/5926	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:18%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/001-refresh.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/001-refresh.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:35	6652/6652	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:38%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/060-pencil.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/060-pencil.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:36	6888/6888	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:49%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/093-letter.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/093-letter.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:36	13458/13458	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:59%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/124-screen.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/124-screen.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:36	8300/8300	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:59%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/122-truck.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/122-truck.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:37	7910/7910	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:17:08%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/150-truck.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/150-truck.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
11:24:37	7881/7881	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Jul%202021%2010:16:50%20GMT	https://themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/097-scan.svg	C:/Users/Owner/Desktop/Mentor%20Parth/Divine%20Astrology/Mentor%20Parth/themes.potenzaglobalsolutions.com/html/hi-soft/images/svg/icon/097-scan.svg	(from https://themes.potenzaglobalsolutions.com/html/hi-soft/index-05.html)
